model_times,model_recall
0.003953,0.397133
0.004146,0.485200
0.004261,0.546900
0.004399,0.585567
0.004526,0.613867
0.004823,0.653033
0.005192,0.689967
0.005583,0.748067
0.005847,0.790600
0.006757,0.882633
0.007670,0.948300
