model_times,model_recall
0.005246,0.061133
0.005266,0.081133
0.005366,0.098133
0.005690,0.111433
0.006077,0.123467
0.006305,0.147267
0.007246,0.224733
0.009134,0.359833
0.010787,0.470433
0.013494,0.659667
0.015110,0.845933
