model_times,model_recall
0.006744,0.240100
0.006966,0.292867
0.007100,0.345733
0.007220,0.382700
0.007325,0.409600
0.007542,0.441433
0.008147,0.509400
0.009475,0.626000
0.010560,0.722400
0.011699,0.845533
0.011952,0.922033
