cov-type-full_max-iter-5_init-params-kmeans_model_times,cov-type-full_max-iter-5_init-params-kmeans_model_recall
0.023944,0.172467
0.030303,0.206300
0.035433,0.237533
0.039273,0.261100
0.045972,0.285733
0.084250,0.396167
0.118106,0.481167
0.164510,0.567233
0.200883,0.638667
0.245601,0.752733
0.265873,0.919233
