cov-type-full_max-iter-2_init-params-random_model_times,cov-type-full_max-iter-2_init-params-random_model_recall
0.023813,0.174900
0.029996,0.225133
0.039399,0.261600
0.046862,0.290100
0.058718,0.316500
0.101012,0.421967
0.124606,0.517100
0.149802,0.637900
0.173725,0.714433
0.214302,0.834100
0.254497,0.934000
