cov-type-spherical_max-iter-5_init-params-kmeans_model_times,cov-type-spherical_max-iter-5_init-params-kmeans_model_recall
0.006104,0.175400
0.006441,0.247167
0.007027,0.366733
0.007420,0.435700
0.008192,0.535167
0.011729,0.760133
0.014972,0.835800
0.020076,0.903967
0.024252,0.936833
0.031583,0.970267
0.039198,0.991500
