cov-type-tied_max-iter-5_init-params-random_model_times,cov-type-tied_max-iter-5_init-params-random_model_recall
0.179133,0.003433
0.179148,0.005767
0.179177,0.015133
0.179208,0.024033
0.179280,0.042100
0.179837,0.138800
0.180538,0.228867
0.181918,0.370133
0.183293,0.491233
0.186015,0.687233
0.189381,0.877100
