cov-type-tied_max-iter-2_init-params-kmeans_model_times,cov-type-tied_max-iter-2_init-params-kmeans_model_recall
0.015726,0.175100
0.019540,0.239800
0.024648,0.335900
0.028847,0.395000
0.036580,0.483967
0.065161,0.705200
0.084147,0.794033
0.108223,0.871900
0.123585,0.911633
0.146497,0.953800
0.165316,0.985033
