model_times,model_recall
0.016543,0.064267
0.016843,0.101967
0.017335,0.189567
0.017501,0.250300
0.017731,0.343600
0.018536,0.638100
0.019034,0.777633
0.019793,0.896533
0.020445,0.947900
0.021670,0.986300
0.023111,0.998533
