cov-type-diag_max-iter-5_init-params-random_model_times,cov-type-diag_max-iter-5_init-params-random_model_recall
0.006811,0.141633
0.007452,0.177767
0.008181,0.226400
0.008788,0.263033
0.009838,0.313567
0.016069,0.470267
0.023552,0.547000
0.034586,0.633767
0.041928,0.696800
0.050965,0.798767
0.056272,0.914900
