cov-type-diag_max-iter-5_init-params-kmeans_model_times,cov-type-diag_max-iter-5_init-params-kmeans_model_recall
0.004718,0.141667
0.005103,0.181167
0.005562,0.232800
0.005920,0.269100
0.006646,0.314200
0.010644,0.458667
0.015158,0.528600
0.022849,0.614133
0.029012,0.674267
0.036584,0.805133
0.041380,0.937467
