cov-type-spherical_max-iter-5_init-params-random_model_times,cov-type-spherical_max-iter-5_init-params-random_model_recall
0.005386,0.173267
0.005722,0.237167
0.006249,0.353567
0.006693,0.422967
0.007591,0.526767
0.011449,0.757100
0.014787,0.835333
0.019744,0.903700
0.023695,0.937533
0.029876,0.969067
0.036329,0.991433
