L2_pred,L2
0,599
1,920
2,598
3,1931
4,1159
5,1008
6,1326
7,792
8,759
9,614
10,854
11,682
12,710
13,1079
14,836
15,544
16,886
17,682
18,1335
19,766
20,918
21,1501
22,649
23,799
24,878
25,782
26,680
27,671
28,858
29,1090
30,606
31,1082
32,1459
33,1060
34,948
35,694
36,2043
37,731
38,540
39,797
40,865
41,1168
42,939
43,1027
44,1014
45,1437
46,1323
47,1228
48,1038
49,1031
50,1101
51,671
52,2287
53,1922
54,1496
55,1155
56,740
57,572
58,749
59,673
60,1226
61,720
62,733
63,886
64,959
65,690
66,1317
67,638
68,1119
69,842
70,631
71,626
72,797
73,829
74,1564
75,620
76,2369
77,763
78,637
79,701
80,888
81,849
82,1642
83,902
84,942
85,1785
86,1576
87,785
88,770
89,862
90,563
91,1487
92,1334
93,840
94,1144
95,804
96,1223
97,724
98,1461
99,1450
