L2_pred,L2
0,672
1,1117
2,1184
3,857
4,790
5,1139
6,787
7,1071
8,1275
9,779
10,849
11,854
12,878
13,1091
14,1663
15,834
16,803
17,1128
18,748
19,902
20,1207
21,959
22,2527
23,975
24,757
25,926
26,1284
27,1144
28,676
29,675
30,1342
31,1529
32,923
33,1185
34,999
35,1145
36,1028
37,1015
38,667
39,924
40,1165
41,732
42,755
43,953
44,1409
45,761
46,968
47,1020
48,920
49,1314
50,644
51,953
52,1369
53,972
54,996
55,1057
56,1360
57,698
58,747
59,1170
60,985
61,730
62,1120
63,871
64,923
65,689
66,1008
67,1064
68,780
69,940
70,713
71,920
72,1014
73,787
74,1147
75,1104
76,639
77,654
78,1080
79,1302
80,837
81,1342
82,738
83,1614
84,1237
85,696
86,709
87,1513
88,1061
89,1408
90,732
91,958
92,777
93,668
94,667
95,712
96,725
97,2189
98,689
99,987
