L2_pred,L2
0,838
1,710
2,1512
3,998
4,886
5,1165
6,926
7,910
8,1785
9,782
10,1012
11,1561
12,599
13,1330
14,788
15,906
16,905
17,897
18,940
19,583
20,840
21,2065
22,714
23,1365
24,646
25,853
26,838
27,895
28,1748
29,1019
30,1137
31,774
32,1043
33,1068
34,786
35,1061
36,1192
37,697
38,1069
39,954
40,1234
41,1144
42,705
43,924
44,1180
45,709
46,772
47,1480
48,706
49,616
50,1281
51,910
52,780
53,690
54,1225
55,1108
56,669
57,836
58,912
59,816
60,1787
61,2322
62,681
63,694
64,1020
65,662
66,713
67,847
68,728
69,1214
70,1967
71,1297
72,1081
73,1146
74,789
75,1074
76,723
77,996
78,934
79,944
80,896
81,1050
82,603
83,620
84,850
85,1101
86,1963
87,867
88,1330
89,1110
90,869
91,737
92,1248
93,624
94,938
95,788
96,835
97,1011
98,566
99,881
