L2_pred,L2
0,1255
1,682
2,623
3,1183
4,506
5,733
6,930
7,711
8,1336
9,714
10,1014
11,1312
12,1161
13,1106
14,762
15,1318
16,1147
17,650
18,1042
19,628
20,691
21,1351
22,918
23,1248
24,686
25,1768
26,1528
27,660
28,1067
29,823
30,783
31,1012
32,894
33,1349
34,696
35,919
36,1030
37,1173
38,755
39,780
40,969
41,1003
42,991
43,1977
44,666
45,627
46,1069
47,1054
48,626
49,1120
50,1104
51,593
52,580
53,1180
54,1022
55,851
56,512
57,1428
58,721
59,597
60,795
61,854
62,906
63,781
64,1454
65,1193
66,1139
67,824
68,613
69,698
70,1074
71,546
72,1196
73,907
74,1516
75,480
76,919
77,1075
78,2109
79,1524
80,514
81,758
82,819
83,1089
84,1027
85,676
86,813
87,1892
88,1436
89,697
90,619
91,1430
92,1168
93,891
94,980
95,1695
96,1111
97,831
98,1758
99,1559
