model_times,model_recall
0.004924,0.282000
0.005200,0.348000
0.005350,0.412133
0.005497,0.451633
0.005643,0.480600
0.005882,0.515833
0.006516,0.588567
0.007970,0.684833
0.009356,0.754867
0.010863,0.871933
0.011341,0.953100
