model_times,model_recall
0.004948,0.291767
0.005203,0.360133
0.005347,0.420667
0.005504,0.457700
0.005634,0.487100
0.005877,0.526167
0.006471,0.594667
0.007754,0.696467
0.009043,0.773333
0.010644,0.876233
0.011166,0.952633
