L2_pred,L2
0,1605
1,614
2,992
3,1016
4,805
5,824
6,1396
7,609
8,659
9,933
10,772
11,1530
12,1007
13,1117
14,1115
15,772
16,1152
17,947
18,1021
19,828
20,1426
21,822
22,1952
23,715
24,1028
25,826
26,678
27,720
28,778
29,657
30,1519
31,847
32,1319
33,1549
34,830
35,785
36,1516
37,927
38,738
39,985
40,1654
41,1971
42,995
43,597
44,945
45,711
46,1222
47,662
48,1226
49,1528
50,831
51,853
52,1257
53,668
54,1185
55,708
56,960
57,1016
58,639
59,897
60,1393
61,634
62,1091
63,1001
64,806
65,1103
66,810
67,860
68,534
69,680
70,1026
71,565
72,1160
73,721
74,641
75,1710
76,865
77,900
78,1650
79,797
80,810
81,1027
82,1409
83,990
84,1160
85,902
86,837
87,737
88,1352
89,990
90,992
91,615
92,777
93,1149
94,1063
95,1215
96,1800
97,871
98,763
99,738
