L2_pred,L2
0,1088
1,756
2,986
3,1397
4,872
5,858
6,1550
7,1359
8,1774
9,886
10,1041
11,766
12,759
13,916
14,980
15,957
16,865
17,918
18,832
19,659
20,1713
21,1660
22,1861
23,1216
24,732
25,644
26,881
27,1699
28,1291
29,1175
30,857
31,1077
32,817
33,1056
34,702
35,692
36,787
37,1562
38,685
39,913
40,1400
41,655
42,645
43,995
44,1256
45,1009
46,1137
47,595
48,605
49,748
50,1282
51,893
52,971
53,721
54,1108
55,840
56,827
57,674
58,701
59,957
60,658
61,1275
62,731
63,1236
64,1259
65,1013
66,1282
67,909
68,1046
69,705
70,1197
71,569
72,1220
73,853
74,840
75,1903
76,886
77,646
78,737
79,1056
80,929
81,805
82,604
83,1933
84,937
85,876
86,1254
87,808
88,929
89,1177
90,1439
91,707
92,590
93,903
94,1345
95,853
96,878
97,615
98,922
99,1217
