L2_pred,L2
0,1097
1,959
2,882
3,841
4,952
5,1130
6,577
7,785
8,545
9,785
10,1061
11,995
12,741
13,920
14,1057
15,1280
16,1356
17,1092
18,1575
19,1058
20,896
21,1004
22,923
23,649
24,1038
25,1128
26,869
27,1033
28,982
29,1049
30,771
31,1211
32,1038
33,743
34,766
35,1226
36,575
37,861
38,644
39,764
40,653
41,1168
42,1126
43,1205
44,1155
45,844
46,1575
47,1029
48,2387
49,929
50,982
51,1087
52,1304
53,645
54,732
55,1179
56,1021
57,770
58,673
59,894
60,943
61,1184
62,869
63,1106
64,1032
65,831
66,715
67,890
68,1501
69,620
70,829
71,1204
72,1290
73,1219
74,1107
75,1000
76,1292
77,1011
78,846
79,1487
80,1786
81,992
82,545
83,663
84,1507
85,892
86,876
87,1174
88,1462
89,720
90,689
91,771
92,1107
93,768
94,836
95,808
96,1206
97,1256
98,1001
99,749
