L2_pred,L2
0,980
1,1110
2,733
3,1449
4,1307
5,673
6,740
7,969
8,584
9,874
10,1565
11,910
12,770
13,1225
14,853
15,862
16,1312
17,1118
18,760
19,686
20,712
21,776
22,847
23,588
24,1009
25,803
26,955
27,700
28,1177
29,925
30,1000
31,1730
32,730
33,1135
34,1113
35,1894
36,1008
37,909
38,1157
39,926
40,754
41,798
42,750
43,889
44,1199
45,891
46,992
47,1004
48,1298
49,955
50,556
51,995
52,1361
53,1372
54,786
55,1407
56,1140
57,846
58,1267
59,969
60,643
61,753
62,948
63,962
64,635
65,901
66,1752
67,1578
68,713
69,995
70,2184
71,606
72,735
73,1039
74,993
75,1110
76,1493
77,791
78,772
79,734
80,880
81,714
82,1248
83,667
84,983
85,910
86,996
87,1151
88,985
89,1444
90,959
91,1456
92,788
93,661
94,1386
95,792
96,770
97,1112
98,650
99,1308
