L2_pred,L2
0,1035
1,819
2,689
3,787
4,1114
5,718
6,575
7,743
8,824
9,1256
10,1046
11,1063
12,796
13,1180
14,864
15,828
16,699
17,987
18,750
19,749
20,830
21,833
22,986
23,1667
24,723
25,1153
26,973
27,1183
28,754
29,1518
30,1074
31,788
32,953
33,805
34,839
35,1436
36,679
37,938
38,604
39,868
40,1070
41,1238
42,1065
43,828
44,1169
45,791
46,1377
47,667
48,1105
49,1888
50,745
51,691
52,1598
53,1262
54,978
55,1037
56,1051
57,799
58,821
59,792
60,867
61,2268
62,1258
63,1115
64,1271
65,764
66,671
67,1511
68,781
69,1069
70,982
71,1069
72,1277
73,814
74,1946
75,526
76,912
77,1593
78,887
79,975
80,1239
81,1576
82,533
83,1089
84,764
85,683
86,1284
87,557
88,948
89,1166
90,759
91,896
92,729
93,686
94,1276
95,653
96,944
97,1179
98,1023
99,1362
