L2_pred,L2
0,488
1,1133
2,999
3,714
4,773
5,683
6,1253
7,1058
8,1483
9,778
10,845
11,800
12,1269
13,754
14,1023
15,1163
16,966
17,773
18,930
19,966
20,689
21,948
22,658
23,828
24,1035
25,933
26,904
27,730
28,1099
29,1275
30,711
31,824
32,1094
33,860
34,1366
35,848
36,928
37,747
38,655
39,1019
40,811
41,1237
42,704
43,935
44,992
45,950
46,739
47,1043
48,812
49,1210
50,1129
51,1467
52,1005
53,587
54,772
55,756
56,1083
57,710
58,1158
59,1448
60,2301
61,1286
62,747
63,951
64,1380
65,616
66,931
67,1075
68,668
69,692
70,1744
71,1049
72,770
73,906
74,859
75,1495
76,838
77,670
78,1336
79,622
80,1070
81,625
82,604
83,1378
84,1707
85,833
86,2037
87,1362
88,850
89,1012
90,653
91,669
92,1398
93,1059
94,983
95,1303
96,1003
97,1129
98,1966
99,873
