L2_pred,L2
0,963
1,823
2,1373
3,1046
4,1037
5,1277
6,906
7,872
8,1077
9,995
10,827
11,937
12,1470
13,692
14,732
15,1552
16,819
17,1455
18,892
19,861
20,879
21,733
22,700
23,888
24,723
25,731
26,686
27,1474
28,1320
29,1090
30,1178
31,1178
32,697
33,908
34,741
35,699
36,529
37,1906
38,586
39,809
40,696
41,874
42,1922
43,1022
44,1176
45,1880
46,1415
47,1017
48,1466
49,591
50,1076
51,1358
52,884
53,1621
54,845
55,909
56,804
57,916
58,1533
59,1009
60,1185
61,1341
62,664
63,706
64,1445
65,1077
66,1102
67,1103
68,736
69,685
70,686
71,1164
72,796
73,798
74,958
75,829
76,641
77,768
78,923
79,1127
80,1053
81,694
82,723
83,913
84,774
85,730
86,594
87,1338
88,862
89,981
90,897
91,814
92,1174
93,729
94,696
95,1236
96,889
97,1005
98,1198
99,1891
