L2_pred,L2
0,1504
1,765
2,870
3,1098
4,758
5,780
6,857
7,792
8,1023
9,766
10,732
11,975
12,798
13,816
14,716
15,1438
16,1369
17,2371
18,847
19,1070
20,1772
21,924
22,1017
23,720
24,940
25,855
26,1007
27,1074
28,1389
29,801
30,697
31,2091
32,829
33,1249
34,1180
35,725
36,744
37,892
38,984
39,723
40,1426
41,1037
42,989
43,931
44,848
45,874
46,714
47,855
48,841
49,930
50,938
51,646
52,791
53,595
54,766
55,863
56,1123
57,889
58,755
59,1018
60,688
61,620
62,1043
63,779
64,1942
65,689
66,924
67,779
68,1623
69,1410
70,1266
71,1101
72,673
73,1318
74,1192
75,1681
76,893
77,1103
78,1068
79,1094
80,1445
81,1047
82,983
83,1709
84,928
85,1225
86,727
87,1124
88,909
89,687
90,862
91,1163
92,748
93,984
94,655
95,621
96,1296
97,676
98,768
99,770
