L2_pred,L2
0,1943
1,1076
2,784
3,877
4,745
5,549
6,1118
7,836
8,949
9,864
10,1434
11,680
12,1037
13,801
14,1174
15,1142
16,768
17,1640
18,1498
19,806
20,998
21,683
22,905
23,786
24,767
25,692
26,929
27,1254
28,1877
29,705
30,658
31,887
32,641
33,732
34,1005
35,785
36,1011
37,897
38,948
39,1266
40,1082
41,947
42,800
43,1536
44,653
45,754
46,757
47,1283
48,1349
49,1009
50,1168
51,1065
52,1489
53,711
54,1018
55,1678
56,811
57,676
58,1144
59,808
60,1146
61,750
62,1138
63,840
64,1488
65,857
66,1355
67,838
68,1038
69,755
70,571
71,1243
72,1206
73,511
74,1009
75,1084
76,1520
77,899
78,2050
79,788
80,852
81,827
82,970
83,671
84,833
85,734
86,1165
87,1629
88,936
89,939
90,903
91,826
92,1202
93,922
94,785
95,846
96,944
97,1284
98,956
99,805
