model_times,model_recall
0.013057,0.138033
0.015842,0.175433
0.018583,0.239167
0.021814,0.284667
0.028351,0.351400
0.057715,0.550767
0.078155,0.644333
0.104319,0.750633
0.121203,0.819033
0.132393,0.909767
0.136450,0.974567
