model_times,model_recall
0.008530,0.290133
0.009480,0.347900
0.009943,0.406933
0.010414,0.450567
0.010771,0.480533
0.011271,0.522167
0.012428,0.585533
0.015845,0.665833
0.018603,0.725267
0.023405,0.822533
0.027149,0.928867
