model_times,model_recall
0.004653,0.344400
0.004852,0.424967
0.004957,0.508800
0.005070,0.556467
0.005155,0.594633
0.005279,0.644600
0.005545,0.714300
0.006156,0.799633
0.006658,0.854100
0.007537,0.912100
0.008857,0.964167
