model_times,model_recall
0.002877,0.172567
0.003024,0.237333
0.003250,0.344600
0.003418,0.412500
0.003823,0.514100
0.005493,0.761067
0.006892,0.852233
0.009053,0.927433
0.010771,0.960133
0.013527,0.988733
0.016237,0.998567
