model_times,model_recall
0.004661,0.399467
0.005189,0.487900
0.005398,0.597900
0.005666,0.660200
0.005884,0.709133
0.006214,0.759267
0.006765,0.826300
0.008046,0.905700
0.009015,0.937267
0.010369,0.972667
0.012155,0.988900
