L2_pred,L2
0,665
1,1390
2,873
3,702
4,757
5,902
6,1255
7,978
8,1589
9,1162
10,1503
11,824
12,741
13,2307
14,672
15,687
16,685
17,911
18,1583
19,775
20,752
21,762
22,1347
23,1259
24,809
25,994
26,1086
27,871
28,1517
29,784
30,1474
31,939
32,1066
33,926
34,1304
35,949
36,723
37,859
38,895
39,1430
40,803
41,861
42,656
43,945
44,749
45,951
46,826
47,1092
48,1040
49,1050
50,1068
51,921
52,893
53,1025
54,802
55,774
56,935
57,952
58,645
59,1124
60,1159
61,1102
62,906
63,840
64,705
65,910
66,1212
67,1201
68,1501
69,840
70,771
71,976
72,1283
73,622
74,739
75,811
76,1656
77,784
78,1743
79,831
80,1039
81,790
82,988
83,957
84,1038
85,1111
86,1189
87,711
88,910
89,835
90,752
91,1217
92,899
93,940
94,2021
95,580
96,1081
97,641
98,671
99,1219
