L2_pred,L2
0,667
1,963
2,1063
3,1389
4,858
5,935
6,1356
7,1481
8,606
9,791
10,960
11,1683
12,665
13,735
14,942
15,1278
16,851
17,1052
18,1032
19,1106
20,827
21,845
22,683
23,1134
24,1663
25,1066
26,865
27,789
28,1344
29,753
30,1041
31,1246
32,726
33,1659
34,1120
35,1057
36,712
37,982
38,712
39,1212
40,1087
41,1100
42,707
43,915
44,1000
45,817
46,892
47,922
48,1574
49,1099
50,1186
51,1352
52,983
53,1102
54,786
55,922
56,1271
57,1230
58,857
59,955
60,880
61,963
62,722
63,719
64,1512
65,1385
66,709
67,1507
68,672
69,652
70,731
71,1185
72,652
73,1368
74,850
75,740
76,947
77,1817
78,555
79,1020
80,595
81,1240
82,909
83,760
84,1094
85,1085
86,607
87,796
88,1090
89,648
90,1147
91,803
92,655
93,603
94,1241
95,752
96,800
97,1343
98,1672
99,968
