L2_pred,L2
0,846
1,954
2,1156
3,752
4,788
5,1079
6,1183
7,1216
8,1025
9,687
10,1123
11,760
12,875
13,800
14,1481
15,900
16,1032
17,677
18,893
19,725
20,743
21,1084
22,687
23,1391
24,861
25,1765
26,1090
27,772
28,1233
29,727
30,984
31,1019
32,1076
33,2031
34,911
35,934
36,964
37,763
38,632
39,1534
40,1313
41,633
42,970
43,1030
44,1249
45,1049
46,799
47,750
48,743
49,850
50,1401
51,901
52,1046
53,1125
54,1084
55,732
56,1539
57,1045
58,619
59,963
60,1872
61,1121
62,689
63,1051
64,755
65,1129
66,881
67,668
68,667
69,1505
70,1077
71,1211
72,918
73,960
74,814
75,746
76,697
77,805
78,812
79,1168
80,834
81,697
82,650
83,760
84,806
85,687
86,549
87,1043
88,2678
89,665
90,1116
91,1451
92,665
93,1034
94,1333
95,855
96,1515
97,1154
98,849
99,1119
