L2_pred,L2
0,886
1,826
2,739
3,997
4,897
5,1844
6,845
7,1141
8,1661
9,736
10,991
11,1149
12,728
13,1191
14,926
15,1758
16,930
17,1401
18,663
19,909
20,1016
21,1402
22,1427
23,1061
24,715
25,844
26,777
27,698
28,996
29,1043
30,707
31,597
32,816
33,2074
34,742
35,965
36,1702
37,1317
38,886
39,946
40,1081
41,770
42,891
43,808
44,937
45,778
46,988
47,979
48,980
49,660
50,1589
51,1399
52,820
53,669
54,890
55,1079
56,1050
57,1272
58,1241
59,560
60,718
61,712
62,859
63,671
64,664
65,617
66,700
67,876
68,1004
69,829
70,795
71,1093
72,681
73,665
74,1267
75,812
76,1038
77,994
78,659
79,826
80,795
81,1217
82,1143
83,1233
84,664
85,1117
86,1296
87,1415
88,1396
89,994
90,1208
91,942
92,737
93,1710
94,1448
95,1121
96,781
97,968
98,1109
99,836
