model_times,model_recall
0.011955,0.172033
0.015269,0.214367
0.019039,0.274733
0.021916,0.315867
0.026924,0.382100
0.050033,0.571733
0.067933,0.665000
0.092695,0.765700
0.107533,0.827667
0.116442,0.905233
0.117927,0.959133
