L2_pred,L2
0,776
1,1206
2,627
3,967
4,849
5,970
6,897
7,982
8,747
9,1047
10,750
11,714
12,708
13,1474
14,870
15,800
16,618
17,720
18,1069
19,1245
20,762
21,851
22,1152
23,1767
24,1157
25,907
26,704
27,688
28,955
29,711
30,968
31,1377
32,1197
33,943
34,691
35,913
36,909
37,937
38,1096
39,2374
40,805
41,1449
42,891
43,1452
44,1303
45,1184
46,678
47,795
48,1526
49,911
50,847
51,1069
52,1598
53,1524
54,626
55,986
56,1153
57,696
58,853
59,667
60,1337
61,1023
62,994
63,927
64,1359
65,1018
66,665
67,667
68,844
69,726
70,1010
71,1349
72,621
73,920
74,1143
75,1336
76,708
77,1649
78,1444
79,1204
80,981
81,1052
82,580
83,833
84,673
85,2109
86,1020
87,830
88,1015
89,860
90,783
91,1164
92,589
93,735
94,926
95,934
96,824
97,1099
98,1264
99,677
