L2_pred,L2
0,1346
1,1035
2,1235
3,656
4,757
5,985
6,674
7,1038
8,844
9,1318
10,1244
11,730
12,1019
13,1586
14,856
15,697
16,773
17,940
18,732
19,2302
20,1281
21,1063
22,743
23,1134
24,923
25,539
26,1412
27,750
28,814
29,1347
30,1125
31,1205
32,981
33,761
34,1042
35,770
36,987
37,1180
38,1413
39,1273
40,987
41,858
42,783
43,792
44,803
45,705
46,648
47,1030
48,727
49,1091
50,1188
51,843
52,839
53,867
54,970
55,1158
56,907
57,1299
58,733
59,768
60,672
61,1029
62,828
63,956
64,1181
65,736
66,976
67,711
68,709
69,678
70,1017
71,1279
72,893
73,869
74,1475
75,1271
76,940
77,1694
78,1718
79,797
80,1451
81,820
82,991
83,838
84,1200
85,1531
86,1306
87,765
88,1077
89,1170
90,726
91,691
92,865
93,1277
94,898
95,722
96,670
97,690
98,1574
99,803
