L2_pred,L2
0,1473
1,1113
2,721
3,757
4,1298
5,1050
6,924
7,687
8,827
9,766
10,564
11,984
12,550
13,1111
14,986
15,1522
16,1283
17,1559
18,724
19,934
20,816
21,723
22,1107
23,686
24,699
25,686
26,789
27,904
28,627
29,674
30,975
31,893
32,624
33,1766
34,766
35,905
36,1062
37,1549
38,645
39,740
40,1391
41,809
42,741
43,942
44,713
45,829
46,1025
47,1119
48,761
49,1494
50,1238
51,789
52,1227
53,696
54,731
55,989
56,1393
57,636
58,1205
59,1334
60,1036
61,1294
62,697
63,656
64,782
65,547
66,847
67,861
68,1325
69,2658
70,845
71,1285
72,711
73,1124
74,1386
75,1047
76,679
77,614
78,1469
79,1422
80,1701
81,1005
82,996
83,1501
84,1141
85,826
86,895
87,897
88,1299
89,881
90,765
91,695
92,1025
93,1182
94,975
95,1417
96,1254
97,742
98,1333
99,654
