L1_pred,L2_pred,L2
0,0,22
0,1,38
0,2,49
0,3,40
0,4,36
0,5,60
0,6,54
0,7,23
0,8,38
0,9,65
0,10,59
0,11,23
0,12,48
0,13,26
0,14,35
0,15,26
0,16,34
0,17,30
0,18,76
0,19,37
0,20,54
0,21,28
0,22,30
0,23,22
0,24,21
0,25,43
0,26,28
0,27,33
0,28,76
0,29,23
0,30,28
0,31,32
0,32,40
0,33,75
0,34,50
0,35,140
0,36,127
0,37,23
0,38,43
0,39,44
0,40,41
0,41,41
0,42,42
0,43,30
0,44,40
0,45,32
0,46,27
0,47,65
0,48,27
0,49,38
0,50,22
0,51,69
0,52,30
0,53,133
0,54,55
0,55,53
0,56,30
0,57,61
0,58,45
0,59,49
0,60,31
0,61,59
0,62,18
0,63,199
0,64,73
0,65,45
0,66,25
0,67,31
0,68,42
0,69,55
0,70,36
0,71,80
0,72,31
0,73,51
0,74,27
0,75,38
0,76,68
0,77,25
0,78,39
0,79,40
0,80,29
0,81,29
0,82,37
0,83,44
0,84,36
0,85,56
0,86,159
0,87,37
0,88,32
0,89,213
0,90,71
0,91,70
0,92,150
0,93,38
0,94,31
0,95,27
0,96,47
0,97,55
0,98,35
0,99,30
1,0,36
1,1,18
1,2,35
1,3,25
1,4,17
1,5,28
1,6,18
1,7,9
1,8,21
1,9,25
1,10,18
1,11,9
1,12,37
1,13,16
1,14,14
1,15,27
1,16,30
1,17,23
1,18,39
1,19,21
1,20,16
1,21,25
1,22,29
1,23,54
1,24,32
1,25,9
1,26,30
1,27,42
1,28,33
1,29,5
1,30,77
1,31,19
1,32,24
1,33,33
1,34,16
1,35,27
1,36,45
1,37,42
1,38,28
1,39,19
1,40,23
1,41,37
1,42,50
1,43,28
1,44,27
1,45,27
1,46,17
1,47,16
1,48,24
1,49,24
1,50,25
1,51,15
1,52,61
1,53,21
1,54,29
1,55,21
1,56,21
1,57,18
1,58,29
1,59,26
1,60,17
1,61,24
1,62,17
1,63,30
1,64,34
1,65,21
1,66,16
1,67,20
1,68,22
1,69,30
1,70,34
1,71,40
1,72,14
1,73,25
1,74,22
1,75,13
1,76,24
1,77,29
1,78,36
1,79,19
1,80,20
1,81,59
1,82,28
1,83,17
1,84,20
1,85,18
1,86,18
1,87,58
1,88,22
1,89,18
1,90,20
1,91,17
1,92,20
1,93,31
1,94,14
1,95,17
1,96,30
1,97,27
1,98,21
1,99,44
2,0,66
2,1,67
2,2,274
