L2_pred,L2
0,573
1,869
2,1250
3,840
4,915
5,829
6,723
7,1033
8,742
9,1006
10,625
11,985
12,972
13,831
14,1603
15,726
16,699
17,637
18,1627
19,1127
20,1263
21,1310
22,708
23,1505
24,1021
25,842
26,536
27,830
28,948
29,777
30,1000
31,1165
32,773
33,1515
34,1536
35,1583
36,1301
37,901
38,1262
39,748
40,1488
41,1145
42,1347
43,751
44,1075
45,662
46,1080
47,1015
48,1217
49,805
50,1085
51,1249
52,738
53,1270
54,992
55,988
56,1047
57,1014
58,739
59,822
60,956
61,1304
62,642
63,1017
64,1951
65,1183
66,1164
67,877
68,705
69,751
70,992
71,762
72,843
73,859
74,989
75,738
76,831
77,881
78,956
79,641
80,667
81,844
82,669
83,863
84,1132
85,1306
86,993
87,798
88,720
89,1177
90,692
91,848
92,1904
93,1415
94,815
95,596
96,656
97,1764
98,937
99,1497
