L2_pred,L2
0,616
1,782
2,1711
3,1024
4,1510
5,798
6,1144
7,708
8,656
9,689
10,2107
11,2031
12,746
13,853
14,1241
15,1018
16,1426
17,808
18,848
19,691
20,618
21,1318
22,756
23,1591
24,764
25,988
26,1141
27,1503
28,2632
29,904
30,1425
31,1361
32,1104
33,727
34,1076
35,1207
36,948
37,714
38,1159
39,662
40,710
41,666
42,733
43,577
44,948
45,560
46,1108
47,914
48,869
49,875
50,1139
51,648
52,655
53,819
54,1114
55,842
56,748
57,777
58,778
59,967
60,687
61,894
62,685
63,1104
64,1068
65,1798
66,1398
67,888
68,823
69,915
70,1503
71,811
72,691
73,454
74,898
75,818
76,684
77,923
78,770
79,1842
80,997
81,778
82,1386
83,1504
84,929
85,1139
86,949
87,1247
88,717
89,871
90,1453
91,890
92,793
93,626
94,959
95,675
96,1037
97,976
98,856
99,1112
