L2_pred,L2
0,760
1,1383
2,1258
3,1199
4,1317
5,1284
6,679
7,732
8,952
9,612
10,853
11,903
12,1056
13,1008
14,1170
15,722
16,995
17,1573
18,1355
19,809
20,1309
21,1401
22,929
23,598
24,821
25,1114
26,764
27,1775
28,892
29,820
30,1009
31,586
32,1560
33,830
34,1083
35,952
36,1224
37,869
38,940
39,2888
40,1148
41,572
42,1001
43,1293
44,873
45,704
46,937
47,985
48,1776
49,589
50,859
51,884
52,752
53,734
54,659
55,868
56,541
57,1518
58,958
59,718
60,702
61,730
62,550
63,1616
64,845
65,734
66,715
67,565
68,1476
69,806
70,705
71,1466
72,915
73,809
74,1018
75,886
76,1035
77,775
78,1308
79,1102
80,898
81,953
82,1483
83,697
84,744
85,690
86,1343
87,1073
88,689
89,925
90,758
91,687
92,1958
93,1278
94,1553
95,676
96,942
97,488
98,1047
99,1007
