L2_pred,L2
0,1008
1,954
2,1406
3,886
4,937
5,934
6,1511
7,1132
8,1228
9,1109
10,1170
11,1007
12,894
13,986
14,739
15,3015
16,1055
17,809
18,920
19,865
20,683
21,833
22,990
23,767
24,1024
25,1133
26,712
27,808
28,789
29,656
30,796
31,796
32,787
33,995
34,856
35,971
36,803
37,1523
38,947
39,636
40,1001
41,541
42,1854
43,1289
44,839
45,689
46,1235
47,775
48,907
49,1425
50,1207
51,908
52,834
53,726
54,850
55,983
56,834
57,1168
58,669
59,740
60,737
61,848
62,900
63,840
64,1075
65,885
66,669
67,1302
68,1506
69,1075
70,1495
71,554
72,1492
73,932
74,1912
75,1534
76,770
77,914
78,671
79,820
80,989
81,597
82,1142
83,1351
84,995
85,714
86,1094
87,1269
88,1196
89,1143
90,801
91,962
92,682
93,727
94,918
95,981
96,1024
97,1250
98,716
99,974
