L2_pred,L2
0,1158
1,984
2,858
3,809
4,621
5,1173
6,1045
7,558
8,1222
9,1080
10,1130
11,962
12,1548
13,646
14,930
15,860
16,1033
17,747
18,1459
19,857
20,1163
21,1079
22,1016
23,1042
24,1016
25,914
26,824
27,1932
28,616
29,917
30,1003
31,616
32,1499
33,1586
34,915
35,666
36,1279
37,1107
38,1338
39,861
40,1067
41,2573
42,1210
43,758
44,790
45,1090
46,1224
47,859
48,695
49,1010
50,1115
51,1378
52,1029
53,751
54,640
55,707
56,1522
57,629
58,833
59,672
60,770
61,871
62,1246
63,762
64,747
65,704
66,843
67,885
68,938
69,1113
70,710
71,1160
72,937
73,691
74,601
75,1539
76,1686
77,1117
78,557
79,780
80,891
81,1174
82,688
83,776
84,881
85,679
86,841
87,1561
88,611
89,1020
90,650
91,779
92,954
93,845
94,1998
95,635
96,875
97,1106
98,1058
99,1700
