L2_pred,L2
0,786
1,781
2,588
3,1171
4,731
5,1060
6,878
7,1316
8,706
9,961
10,1125
11,991
12,1014
13,635
14,1062
15,1069
16,1125
17,1002
18,1323
19,645
20,822
21,853
22,643
23,704
24,1269
25,799
26,656
27,1583
28,1150
29,1312
30,800
31,1354
32,889
33,1026
34,1940
35,823
36,1338
37,931
38,1002
39,713
40,1190
41,797
42,615
43,826
44,866
45,836
46,2204
47,1308
48,943
49,919
50,1034
51,1162
52,881
53,648
54,1259
55,1270
56,1367
57,1046
58,633
59,681
60,787
61,876
62,953
63,945
64,1000
65,1016
66,761
67,963
68,996
69,662
70,1036
71,926
72,1032
73,1071
74,759
75,1543
76,827
77,662
78,733
79,1114
80,1083
81,832
82,1284
83,933
84,1347
85,910
86,1500
87,958
88,869
89,940
90,764
91,1876
92,1386
93,911
94,1153
95,929
96,1008
97,596
98,729
99,1269
