L2_pred,L2
0,821
1,821
2,953
3,960
4,758
5,914
6,974
7,1024
8,1229
9,1246
10,653
11,1916
12,871
13,712
14,1042
15,806
16,858
17,821
18,1621
19,1072
20,764
21,544
22,1166
23,926
24,1362
25,672
26,1274
27,1314
28,640
29,800
30,1166
31,2085
32,872
33,961
34,645
35,956
36,574
37,1235
38,1333
39,706
40,978
41,715
42,878
43,1116
44,899
45,945
46,1892
47,1338
48,2116
49,788
50,936
51,738
52,1232
53,714
54,1011
55,1237
56,937
57,704
58,587
59,1400
60,1005
61,752
62,589
63,1511
64,805
65,872
66,585
67,696
68,1637
69,795
70,758
71,647
72,967
73,980
74,875
75,1117
76,2328
77,812
78,1054
79,917
80,853
81,1227
82,1345
83,1247
84,1160
85,717
86,1239
87,588
88,1491
89,1122
90,710
91,585
92,641
93,1331
94,850
95,905
96,610
97,576
98,1212
99,661
