L2_pred,L2
0,869
1,1176
2,1044
3,939
4,877
5,1144
6,1059
7,760
8,1056
9,1149
10,573
11,703
12,880
13,1022
14,695
15,905
16,928
17,937
18,913
19,1023
20,1663
21,616
22,1080
23,958
24,1048
25,808
26,673
27,1112
28,1657
29,725
30,680
31,1164
32,660
33,683
34,1736
35,1011
36,980
37,838
38,935
39,846
40,725
41,832
42,898
43,1680
44,660
45,761
46,1105
47,876
48,2013
49,1081
50,1522
51,1293
52,697
53,641
54,1428
55,995
56,1472
57,911
58,855
59,2163
60,1039
61,1248
62,607
63,666
64,950
65,1300
66,733
67,645
68,911
69,833
70,807
71,877
72,1709
73,1006
74,879
75,741
76,858
77,950
78,794
79,1280
80,883
81,774
82,973
83,853
84,683
85,1107
86,1032
87,1234
88,1227
89,889
90,796
91,1029
92,735
93,1012
94,720
95,955
96,801
97,1509
98,1094
99,1728
