L2_pred,L2
0,2297
1,693
2,971
3,733
4,648
5,921
6,650
7,1701
8,765
9,653
10,663
11,1188
12,1169
13,890
14,1113
15,840
16,1077
17,822
18,677
19,723
20,1198
21,958
22,1328
23,1934
24,1283
25,741
26,980
27,1036
28,1145
29,1146
30,799
31,784
32,1250
33,850
34,1167
35,749
36,938
37,1006
38,1462
39,716
40,983
41,1126
42,994
43,1157
44,692
45,1227
46,822
47,946
48,677
49,1294
50,1158
51,1106
52,1138
53,1250
54,651
55,1073
56,1024
57,855
58,815
59,1375
60,919
61,1255
62,729
63,713
64,1277
65,736
66,1505
67,684
68,835
69,980
70,864
71,1112
72,644
73,892
74,772
75,668
76,762
77,700
78,1978
79,989
80,776
81,1234
82,1064
83,1083
84,618
85,684
86,1837
87,769
88,1013
89,921
90,825
91,1609
92,901
93,1143
94,1696
95,704
96,801
97,688
98,1077
99,516
