L2_pred,L2
0,767
1,1103
2,767
3,1021
4,1074
5,1322
6,651
7,1518
8,755
9,1184
10,1472
11,755
12,1082
13,732
14,733
15,1839
16,1267
17,1565
18,653
19,954
20,999
21,989
22,650
23,978
24,1154
25,2126
26,1090
27,778
28,714
29,947
30,929
31,998
32,1395
33,1896
34,1285
35,880
36,1272
37,1005
38,1121
39,1075
40,1863
41,803
42,879
43,794
44,1055
45,1121
46,725
47,655
48,875
49,724
50,852
51,1421
52,820
53,802
54,954
55,1421
56,724
57,1129
58,679
59,1715
60,968
61,1122
62,801
63,1303
64,733
65,965
66,960
67,611
68,789
69,748
70,703
71,1064
72,946
73,757
74,655
75,809
76,1084
77,851
78,1284
79,721
80,1078
81,1084
82,743
83,776
84,1040
85,670
86,1000
87,711
88,957
89,689
90,1193
91,771
92,679
93,1078
94,925
95,983
96,1433
97,999
98,812
99,999
