L2_pred,L2
0,723
1,894
2,939
3,873
4,1142
5,1104
6,1481
7,700
8,614
9,680
10,1032
11,922
12,852
13,831
14,917
15,582
16,1234
17,1482
18,1039
19,1332
20,805
21,1060
22,673
23,641
24,1219
25,720
26,2388
27,913
28,630
29,1697
30,712
31,1477
32,765
33,757
34,688
35,683
36,690
37,713
38,869
39,660
40,1258
41,1392
42,687
43,793
44,634
45,847
46,1367
47,1258
48,650
49,930
50,1353
51,1418
52,973
53,678
54,1408
55,1198
56,1095
57,899
58,983
59,1502
60,1249
61,1352
62,1073
63,745
64,1129
65,788
66,604
67,1088
68,1063
69,635
70,664
71,1213
72,1408
73,654
74,1230
75,660
76,977
77,565
78,1076
79,1116
80,666
81,2360
82,1042
83,989
84,1270
85,834
86,737
87,543
88,622
89,852
90,1654
91,995
92,1121
93,866
94,1676
95,901
96,1069
97,1088
98,875
99,1095
