L2_pred,L2
0,1339
1,635
2,1108
3,1505
4,816
5,1367
6,1033
7,654
8,1149
9,891
10,859
11,705
12,1248
13,966
14,759
15,1414
16,1109
17,716
18,925
19,1393
20,1128
21,733
22,830
23,826
24,852
25,1084
26,1280
27,1014
28,945
29,778
30,855
31,1103
32,778
33,777
34,2732
35,1642
36,521
37,691
38,960
39,981
40,1303
41,916
42,644
43,764
44,1340
45,963
46,970
47,720
48,577
49,751
50,1455
51,1236
52,824
53,1064
54,657
55,779
56,1036
57,1050
58,1143
59,819
60,1342
61,1767
62,824
63,868
64,954
65,695
66,770
67,799
68,907
69,829
70,817
71,1564
72,572
73,870
74,1306
75,664
76,857
77,1634
78,688
79,904
80,1155
81,1060
82,743
83,1403
84,919
85,842
86,727
87,1333
88,779
89,771
90,1001
91,1022
92,584
93,1203
94,985
95,1304
96,848
97,1782
98,872
99,924
