L2_pred,L2
0,1256
1,819
2,1217
3,931
4,879
5,871
6,746
7,716
8,1191
9,772
10,713
11,1001
12,770
13,869
14,955
15,928
16,1132
17,2122
18,1172
19,2476
20,593
21,811
22,757
23,827
24,797
25,778
26,780
27,1134
28,725
29,788
30,810
31,891
32,1304
33,939
34,746
35,576
36,650
37,1192
38,653
39,888
40,1670
41,1249
42,955
43,1957
44,1223
45,1124
46,973
47,621
48,963
49,1890
50,1635
51,1113
52,1319
53,603
54,677
55,1030
56,1514
57,780
58,875
59,1481
60,676
61,991
62,1378
63,1017
64,820
65,620
66,1091
67,1204
68,837
69,1066
70,656
71,959
72,1465
73,741
74,1085
75,967
76,1393
77,752
78,681
79,1660
80,1110
81,972
82,630
83,745
84,790
85,636
86,878
87,921
88,769
89,1016
90,935
91,1032
92,981
93,737
94,917
95,1228
96,928
97,841
98,1233
99,815
