L2_pred,L2
0,885
1,680
2,1284
3,610
4,1180
5,860
6,1167
7,1412
8,1568
9,1234
10,1010
11,910
12,1052
13,958
14,646
15,740
16,958
17,806
18,1667
19,1382
20,714
21,918
22,952
23,1649
24,658
25,1045
26,1095
27,892
28,779
29,851
30,806
31,1109
32,711
33,736
34,740
35,1123
36,693
37,757
38,1059
39,1060
40,678
41,999
42,1021
43,762
44,980
45,1572
46,684
47,558
48,845
49,727
50,1451
51,699
52,1552
53,1209
54,1027
55,995
56,1065
57,911
58,705
59,673
60,892
61,660
62,723
63,1077
64,810
65,692
66,742
67,882
68,1676
69,1264
70,919
71,1524
72,680
73,1390
74,1404
75,756
76,992
77,1400
78,1536
79,915
80,919
81,551
82,915
83,697
84,819
85,612
86,1248
87,774
88,544
89,593
90,1551
91,1184
92,2544
93,725
94,1078
95,906
96,818
97,2000
98,1138
99,981
