model_times,model_recall
0.009519,0.246333
0.010698,0.295567
0.011209,0.365967
0.011887,0.411267
0.012722,0.462033
0.021962,0.697767
0.034637,0.805667
0.063988,0.888300
0.102248,0.925167
0.205126,0.959333
0.396048,0.985033
