model_times,model_recall
0.004589,0.312767
0.004840,0.381333
0.004973,0.453800
0.005114,0.500200
0.005219,0.533933
0.005405,0.574500
0.005791,0.632700
0.006561,0.721833
0.007339,0.786933
0.009321,0.883900
0.010246,0.965800
