L2_pred,L2
0,755
1,730
2,1038
3,1360
4,764
5,1759
6,1233
7,1704
8,918
9,865
10,659
11,1167
12,1265
13,1028
14,807
15,1555
16,1422
17,680
18,770
19,1078
20,1566
21,1196
22,1664
23,1319
24,839
25,1719
26,950
27,542
28,1713
29,816
30,803
31,624
32,1002
33,773
34,1086
35,1467
36,765
37,697
38,1276
39,1118
40,521
41,1039
42,890
43,895
44,721
45,1458
46,579
47,822
48,973
49,1252
50,826
51,1112
52,871
53,969
54,863
55,753
56,1214
57,745
58,1395
59,1050
60,596
61,1728
62,807
63,636
64,1338
65,570
66,836
67,637
68,911
69,878
70,696
71,1051
72,794
73,757
74,1118
75,1969
76,691
77,985
78,778
79,1318
80,623
81,631
82,597
83,767
84,1336
85,904
86,982
87,592
88,777
89,657
90,837
91,943
92,964
93,2206
94,586
95,890
96,1074
97,961
98,1303
99,836
