L2_pred,L2
0,1442
1,929
2,580
3,772
4,878
5,718
6,650
7,1114
8,788
9,780
10,703
11,1252
12,1140
13,1858
14,992
15,1024
16,1045
17,853
18,822
19,653
20,1100
21,801
22,1430
23,1148
24,815
25,662
26,864
27,1084
28,735
29,1148
30,602
31,1205
32,875
33,1355
34,1047
35,1023
36,876
37,750
38,1041
39,1089
40,804
41,1082
42,741
43,1059
44,690
45,907
46,1069
47,766
48,844
49,1373
50,802
51,913
52,809
53,990
54,649
55,1071
56,1206
57,697
58,1414
59,1647
60,709
61,587
62,997
63,772
64,907
65,1230
66,1608
67,871
68,930
69,1118
70,1014
71,965
72,1900
73,901
74,1321
75,966
76,662
77,893
78,1184
79,861
80,1322
81,1381
82,1145
83,676
84,1169
85,929
86,1164
87,1037
88,781
89,875
90,715
91,1120
92,1012
93,904
94,1527
95,1376
96,774
97,823
98,1893
99,805
