L2_pred,L2
0,1058
1,1036
2,773
3,740
4,733
5,899
6,840
7,846
8,1043
9,959
10,1337
11,814
12,770
13,1268
14,742
15,680
16,1830
17,1644
18,1040
19,1379
20,843
21,726
22,602
23,997
24,673
25,1217
26,1567
27,986
28,1036
29,674
30,922
31,773
32,921
33,630
34,1075
35,961
36,614
37,712
38,1472
39,797
40,1533
41,1231
42,688
43,1878
44,733
45,808
46,937
47,1239
48,704
49,764
50,594
51,681
52,1093
53,643
54,1157
55,686
56,730
57,658
58,1014
59,701
60,876
61,1392
62,809
63,2110
64,622
65,1083
66,1198
67,1834
68,1261
69,1241
70,1466
71,1002
72,1967
73,867
74,833
75,1261
76,843
77,812
78,819
79,1112
80,1248
81,1293
82,997
83,628
84,1359
85,882
86,979
87,847
88,1287
89,768
90,852
91,935
92,579
93,1361
94,1339
95,663
96,648
97,1388
98,665
99,773
