L2_pred,L2
0,985
1,747
2,939
3,741
4,868
5,1287
6,798
7,922
8,1092
9,710
10,989
11,1720
12,1005
13,935
14,1026
15,1323
16,1285
17,882
18,923
19,667
20,740
21,1198
22,1049
23,1112
24,1178
25,1039
26,893
27,815
28,1075
29,1017
30,743
31,813
32,936
33,866
34,710
35,1291
36,985
37,1113
38,943
39,585
40,961
41,1050
42,799
43,1074
44,666
45,1138
46,1387
47,942
48,945
49,1323
50,850
51,893
52,886
53,1684
54,744
55,983
56,1034
57,678
58,669
59,1127
60,909
61,1708
62,993
63,851
64,1484
65,938
66,1319
67,923
68,1359
69,690
70,1021
71,751
72,969
73,1022
74,776
75,1371
76,1230
77,1533
78,981
79,745
80,1084
81,730
82,748
83,693
84,1172
85,771
86,949
87,866
88,1329
89,1260
90,628
91,1140
92,1045
93,915
94,761
95,792
96,770
97,893
98,1091
99,2012
