L2_pred,L2
0,812
1,613
2,833
3,1405
4,563
5,1745
6,1108
7,1673
8,1081
9,704
10,845
11,1281
12,941
13,1003
14,781
15,879
16,904
17,938
18,1001
19,876
20,807
21,1258
22,943
23,1020
24,1200
25,1947
26,1087
27,973
28,776
29,1021
30,1582
31,670
32,676
33,1012
34,691
35,1025
36,630
37,948
38,696
39,729
40,2051
41,953
42,994
43,1078
44,824
45,774
46,843
47,997
48,1109
49,847
50,801
51,814
52,903
53,1791
54,610
55,831
56,1077
57,1239
58,898
59,1018
60,1229
61,638
62,1018
63,1306
64,898
65,1125
66,751
67,867
68,934
69,1186
70,725
71,2227
72,955
73,893
74,1330
75,1002
76,745
77,850
78,820
79,696
80,642
81,1005
82,974
83,835
84,773
85,951
86,1000
87,909
88,1481
89,1017
90,816
91,761
92,1160
93,1630
94,659
95,797
96,1355
97,1223
98,944
99,744
