L2_pred,L2
0,961
1,763
2,980
3,1612
4,867
5,683
6,1252
7,1183
8,844
9,1276
10,1924
11,1216
12,680
13,1256
14,1041
15,1012
16,915
17,1086
18,1036
19,1029
20,813
21,729
22,694
23,1037
24,1269
25,1284
26,689
27,761
28,681
29,790
30,912
31,641
32,921
33,860
34,897
35,1413
36,886
37,752
38,780
39,986
40,1246
41,1031
42,717
43,1119
44,1307
45,619
46,1019
47,923
48,862
49,851
50,728
51,1138
52,717
53,710
54,891
55,1408
56,2002
57,591
58,1211
59,1080
60,769
61,677
62,1518
63,1011
64,1610
65,1122
66,683
67,1056
68,674
69,1494
70,1463
71,716
72,1026
73,1145
74,652
75,765
76,1479
77,1309
78,930
79,837
80,579
81,1010
82,833
83,821
84,691
85,1407
86,956
87,1137
88,777
89,953
90,892
91,1108
92,1438
93,977
94,709
95,784
96,898
97,1854
98,824
99,835
