L2_pred,L2
0,1188
1,1186
2,762
3,682
4,952
5,751
6,955
7,798
8,574
9,981
10,912
11,1061
12,1420
13,1223
14,1211
15,834
16,806
17,1205
18,840
19,723
20,1797
21,1285
22,695
23,874
24,614
25,1080
26,642
27,834
28,848
29,1022
30,1444
31,828
32,830
33,1184
34,1155
35,1266
36,726
37,745
38,731
39,788
40,1156
41,1229
42,736
43,814
44,733
45,1267
46,614
47,1484
48,1258
49,866
50,890
51,887
52,1016
53,1551
54,857
55,1258
56,2190
57,872
58,1493
59,1069
60,1067
61,600
62,832
63,821
64,1752
65,843
66,881
67,974
68,840
69,656
70,1616
71,1005
72,1215
73,728
74,760
75,999
76,965
77,1261
78,930
79,774
80,839
81,996
82,795
83,1007
84,748
85,1064
86,1064
87,918
88,1105
89,753
90,650
91,692
92,803
93,803
94,1446
95,1881
96,818
97,1042
98,1185
99,1180
